"scientific_name","quality_grade","year","freq","percent_freq","totalfreq","quarantine"
"140","Gavia immer","research",2016,7,0.875,8,"no"
"141","Haematopus bachmani","research",2016,1,1,1,"no"
"142","Haemorhous mexicanus","research",2016,5,0.833333333333333,6,"no"
"143","Haemorhous purpureus","research",2016,6,1,6,"no"
"144","Haliaeetus leucocephalus","research",2016,5,1,5,"no"
"145","Hirundo rustica","research",2016,1,0.5,2,"no"
"146","Histrionicus histrionicus","research",2016,5,1,5,"no"
"147","Hydrocoloeus minutus","research",2016,1,1,1,"no"
"148","Hydroprogne caspia","research",2016,3,1,3,"no"
"149","Ixoreus naevius","research",2016,1,1,1,"no"
"150","Junco hyemalis","research",2016,11,0.785714285714286,14,"no"
"151","Lanius borealis","research",2016,1,1,1,"no"
"152","Larus argentatus","research",2016,2,0.4,5,"no"
"153","Larus canus","research",2016,1,1,1,"no"
"154","Larus delawarensis","research",2016,8,0.421052631578947,19,"no"
"155","Larus fuscus","research",2016,1,1,1,"no"
"156","Larus glaucescens","research",2016,3,1,3,"no"
"157","Lophodytes cucullatus","research",2016,2,1,2,"no"
"158","Loxia curvirostra","research",2016,1,1,1,"no"
"159","Mareca americana","research",2016,9,1,9,"no"
"160","Mareca americana × penelope","research",2016,1,1,1,"no"
"161","Mareca penelope","research",2016,8,1,8,"no"
"162","Mareca strepera","research",2016,7,0.777777777777778,9,"no"
"163","Megaceryle alcyon","research",2016,2,1,2,"no"
"164","Megascops asio","research",2016,4,1,4,"no"
"165","Melanitta deglandi","research",2016,1,0.2,5,"no"
"166","Meleagris gallopavo","research",2016,7,1,7,"no"
"167","Melospiza melodia","research",2016,11,0.55,20,"no"
"168","Mergus merganser","research",2016,5,0.833333333333333,6,"no"
"169","Mergus serrator","research",2016,6,0.6,10,"no"
"170","Mimus polyglottos","research",2016,4,1,4,"no"
"171","Molothrus ater","research",2016,4,0.8,5,"no"
"172","Numenius phaeopus","research",2016,1,1,1,"no"
"173","Nycticorax nycticorax","research",2016,1,1,1,"no"
"174","Oxyura jamaicensis","research",2016,2,1,2,"no"
"175","Passer domesticus","research",2016,8,0.533333333333333,15,"no"
"176","Passerculus sandwichensis","research",2016,2,1,2,"no"
"177","Passerella iliaca","research",2016,5,1,5,"no"
"178","Perdix perdix","research",2016,1,1,1,"no"
"179","Phalacrocorax auritus","research",2016,6,0.5,12,"no"
